TradingDate,Open,High,Low,Close,Volume,percent_change
12/30/2022,27000,27350,26750,27250,1395154,0.009259259
12/29/2022,27100,27500,26900,27000,1719295,-0.005524862
12/28/2022,26600,27200,26300,27150,1891477,0.020676692
12/27/2022,26100,26750,26000,26600,2594222,0.021113244
12/26/2022,27650,27700,26000,26050,2960515,-0.057866184
12/23/2022,27500,27950,27300,27650,2822972,0.001811594
12/22/2022,27500,28150,27500,27600,3347622,0.003636364
12/21/2022,28000,28000,27000,27500,3062917,-0.017857143
12/20/2022,27550,28000,26600,28000,6580920,0.016333938
12/19/2022,28000,28500,27550,27550,5168906,-0.017825312
12/16/2022,27750,28250,27750,28050,3221589,-0.007079646
12/15/2022,27900,28250,27900,28250,3530913,0.012544803
12/14/2022,28400,28450,27850,27900,2424550,-0.008880995
12/13/2022,27300,28200,27100,28150,3913858,0.025500911
12/12/2022,28000,28200,27450,27450,3852656,-0.021390374
12/9/2022,27800,28050,27050,28050,4991732,0.008992806
12/8/2022,27600,28900,27400,27800,5285849,0.016453382
12/7/2022,26900,27800,26750,27350,4101748,0.012962963
12/6/2022,28100,28600,26850,27000,7664340,-0.055944056
12/5/2022,28500,28600,27800,28600,7692017,0.023255814
12/2/2022,26300,27950,26050,27950,8948084,0.068833652
12/1/2022,27350,27700,26000,26150,10768743,-0.040366972
11/30/2022,27050,28000,26650,27250,6378824,-0.005474453
11/29/2022,27000,27400,26100,27400,9678849,0.003663004
11/28/2022,26100,27450,26100,27300,11095443,0.058139535
11/25/2022,24900,25800,24650,25800,14168944,0.048780488
11/24/2022,24250,24600,23800,24600,4143117,0.008196721
11/23/2022,23900,24750,23800,24400,5922038,0.020920502
11/22/2022,23900,24900,23500,23900,7652846,-0.008298755
11/21/2022,24700,24800,24100,24100,5682152,-0.024291498
11/18/2022,24550,25000,23500,24700,11618826,-0.012
11/17/2022,25000,25800,24650,25000,11682375,0.008064516
11/16/2022,22300,24900,22250,24800,13033725,0.05982906
11/15/2022,23600,23900,22250,23400,10696163,-0.020920502
11/14/2022,23200,24350,22750,23900,9037448,0.012711864
11/11/2022,23750,24300,23400,23600,9794195,0.037362637
11/10/2022,24100,24300,22750,22750,9625803,-0.069529652
11/9/2022,24100,24850,24000,24450,10211926,0.025157233
11/8/2022,23000,24150,23000,23850,6277310,0.021413276
11/7/2022,24300,24500,23050,23350,7035575,-0.046938776
11/4/2022,23400,24500,22000,24500,13960250,0.038135593
11/3/2022,23550,24100,23500,23600,7490921,-0.016666667
11/2/2022,24050,24550,23850,24000,5392183,-0.018404908
11/1/2022,24700,25450,24400,24450,8834673,-0.006097561
10/31/2022,24300,24650,23350,24600,10125079,0.022869023
10/28/2022,24300,24900,24000,24050,7635115,0.004175365
10/27/2022,22750,23950,22500,23950,8010202,0.069196429
10/26/2022,22450,23200,22350,22400,3451309,-0.002227171
10/25/2022,21200,22450,20950,22450,8649463,0.069047619
10/24/2022,21700,22000,20800,21000,4946709,-0.030023095
10/21/2022,23250,23250,21650,21650,6660843,-0.068817204
10/20/2022,23200,23700,22650,23250,3881068,0.002155172
10/19/2022,23000,23350,22550,23200,4117910,0.008695652
10/18/2022,22900,23400,22850,23000,3897156,0.019955654
10/17/2022,22600,22750,21900,22550,4717982,-0.00660793
10/14/2022,22850,22950,22450,22700,5665173,0.013392857
10/13/2022,21300,22400,21150,22400,6246252,0.059101655
10/12/2022,20000,21150,19900,21150,4724107,0.068181818
10/11/2022,20700,20750,19500,19800,5494733,-0.043478261
10/10/2022,19700,20950,19500,20700,4927157,0.037593985
10/7/2022,21300,21300,19950,19950,8384743,-0.067757009
10/6/2022,22000,22250,21250,21400,4258229,-0.027272727
10/5/2022,21300,22200,21300,22000,4279500,0.060240964
10/4/2022,22000,22700,20500,20750,5638149,-0.039351852
10/3/2022,22700,23000,21600,21600,5692660,-0.068965517
9/30/2022,22650,23250,22450,23200,5382454,0.026548673
9/29/2022,23550,23900,22600,22600,3419407,-0.030042918
9/28/2022,23400,23750,23300,23300,2719193,-0.006396588
9/27/2022,23500,23900,23300,23450,2446800,-0.00212766
9/26/2022,24700,24700,23250,23500,6442500,-0.06
9/23/2022,25400,25600,25000,25000,1588100,-0.015748031
9/22/2022,25300,25600,25000,25400,3206900,-0.005870841
9/21/2022,25900,25950,25500,25550,1250900,-0.017307692
9/20/2022,25600,26000,25600,26000,2001200,0.019607843
9/19/2022,25950,26150,25250,25500,2347600,-0.026717557
9/16/2022,26600,26900,26200,26200,1983400,-0.026022305
9/15/2022,27000,27300,26900,26900,1275100,-0.003703704
9/14/2022,27000,27200,26900,27000,2113200,-0.018181818
9/13/2022,27100,27650,27050,27500,2408900,0.01663586
9/12/2022,27000,27250,27000,27050,1630773,0.00744879
9/9/2022,26950,27200,26350,26850,1820400,0
9/8/2022,27500,27600,26850,26850,3659100,-0.018281536
9/7/2022,28250,28400,27350,27350,4257500,-0.031858407
9/6/2022,27900,28650,27900,28250,3020400,0.010733453
9/5/2022,28250,28350,27900,27950,1755800,-0.010619469
8/31/2022,28300,28500,27900,28250,2075300,-0.00528169
8/30/2022,27900,28550,27900,28400,3595400,0.017921147
8/29/2022,28150,28200,27600,27900,4119900,-0.019332162
8/26/2022,28900,28900,28350,28450,3915700,-0.008710801
8/25/2022,28350,28700,28100,28700,4170600,0.017730496
8/24/2022,28350,28550,28150,28200,3127900,0.007142857
8/23/2022,27800,28150,27650,28000,4282500,0
8/22/2022,28250,28400,27850,28000,5539300,-0.008849558
8/19/2022,28650,29050,28200,28250,4899700,-0.017391304
8/18/2022,29100,29150,28750,28750,3643900,-0.012027491
8/17/2022,29300,29450,29100,29100,3662100,-0.003424658
8/16/2022,29450,29500,29100,29200,3835600,-0.008488964
8/15/2022,28850,29450,28800,29450,6225200,0.027923211
8/12/2022,28550,28700,28400,28650,1821500,0.005263158
8/11/2022,28750,29000,28400,28500,4325400,0.001757469
8/10/2022,28600,28850,28350,28450,3664500,-0.012152778
8/9/2022,29050,29100,28650,28800,3507800,-0.006896552
8/8/2022,29050,29250,28850,29000,3121700,0
8/5/2022,28900,29100,28700,29000,2954300,0.005199307
8/4/2022,29200,29300,28750,28850,5240900,-0.008591065
8/3/2022,28400,29250,28300,29100,6140900,0.017482517
8/2/2022,28600,28950,28350,28600,4570600,-0.003484321
8/1/2022,27550,28700,27550,28700,8637900,0.055147059
7/29/2022,27750,28000,27200,27200,5464700,-0.014492754
7/28/2022,27200,28200,27000,27600,9197200,0.022222222
7/27/2022,26400,27000,26250,27000,1598200,0.016949153
7/26/2022,26850,26900,26500,26550,2166000,-0.001879699
7/25/2022,26750,27100,26600,26600,2220100,-0.011152416
7/22/2022,27600,27650,26900,26900,3253000,-0.021818182
7/21/2022,27050,27500,27050,27500,4824700,0.01663586
7/20/2022,26950,27350,26600,27050,4316400,0.018832392
7/19/2022,26750,26900,26300,26550,2702900,-0.013011152
7/18/2022,27100,27200,26900,26900,3476500,-0.003703704
7/15/2022,27200,27500,27000,27000,7024300,0
7/14/2022,26500,27200,26300,27000,5262300,0.016949153
7/13/2022,25750,26950,25750,26550,3868900,0.03307393
7/12/2022,25500,26000,25400,25700,3615500,0.007843137
7/11/2022,25850,25850,25450,25500,2432300,-0.015444015
7/8/2022,26500,26650,25750,25900,2655300,-0.015209125
7/7/2022,25900,26800,25800,26300,3333500,0.017408124
7/6/2022,26250,26900,25800,25850,4211400,-0.042592593
7/5/2022,26550,27500,26550,27000,4934900,0.015037594
7/4/2022,27150,27150,26600,26600,4009200,-0.012987013
7/1/2022,26200,27000,25550,26950,3534400,0.030592734
6/30/2022,26800,26950,26100,26150,2996800,-0.026070764
6/29/2022,26550,27000,26550,26850,3769100,0.005617978
6/28/2022,25500,27350,24950,26700,8843000,0.04296875
6/27/2022,24750,25650,24700,25600,3897800,0.034343434
6/24/2022,25250,25500,24700,24750,2945000,-0.01980198
6/23/2022,23500,25250,23500,25250,4669100,0.069915254
6/22/2022,23350,24000,23350,23600,2772500,0.023861171
6/21/2022,22500,23550,22500,23050,4588400,0.019911504
6/20/2022,23400,23850,22600,22600,4733900,-0.040339703
6/17/2022,24000,24150,23050,23550,3151800,-0.046558704
6/16/2022,24800,25200,24500,24700,2216700,0.008163265
6/15/2022,25000,25400,24050,24500,3205400,-0.02970297
6/14/2022,25000,25750,24700,25250,2866700,0
6/13/2022,26500,26600,25250,25250,6906600,-0.068265683
6/10/2022,27500,27600,27100,27100,3096400,-0.02166065
6/9/2022,27900,27900,27500,27700,2574700,0
6/8/2022,27400,28100,27300,27700,5333400,0.010948905
6/7/2022,27200,27400,26500,27400,2889500,0.007352941
6/6/2022,27400,27750,27200,27200,3756100,-0.00729927
6/3/2022,27400,27600,26850,27400,2219500,-0.012612613
6/2/2022,27750,28000,27300,27750,4391900,0
6/1/2022,27550,28000,27500,27750,4137200,-0.005376344
5/31/2022,27050,27950,27000,27900,6057500,0.021978022
5/30/2022,27050,27400,27000,27300,2818400,0.011111111
5/27/2022,27000,27250,26700,27000,3929200,0.011235955
5/26/2022,27250,27250,26550,26700,3780600,-0.007434944
5/25/2022,26000,27000,26000,26900,4502000,0.034615385
5/24/2022,25000,26000,25000,26000,4449100,0.04
5/23/2022,25950,26200,25000,25000,4208800,-0.034749035
5/20/2022,26100,26450,25850,25900,5051800,-0.007662835
5/19/2022,26000,26400,25800,26100,4270100,-0.018796992
5/18/2022,26550,27250,26300,26600,6426500,0.013333333
5/17/2022,24400,26250,24400,26250,5909200,0.069246436
5/16/2022,25000,25350,24500,24550,5223400,0.027196653
5/13/2022,25000,25150,23500,23900,8034400,-0.044
5/12/2022,26050,26600,24850,25000,6370800,-0.063670412
5/11/2022,25350,26900,25200,26700,5667100,0.05952381
