TradingDate,Open,High,Low,Close,Volume,percent_change
12/30/2022,17550,17550,17100,17100,4131918,-0.017241379
12/29/2022,17300,17600,17300,17400,4185371,-0.00286533
12/28/2022,17300,17600,17050,17450,4611361,0.011594203
12/27/2022,16850,17300,16750,17250,5630226,0.026785714
12/26/2022,17700,17750,16800,16800,9434336,-0.053521127
12/23/2022,17950,17950,17600,17750,4511069,-0.013888889
12/22/2022,17900,18300,17700,18000,7710510,0.016949153
12/21/2022,17850,17900,17100,17700,8649384,0.005681818
12/20/2022,18300,18450,17400,17600,18210769,-0.040871935
12/19/2022,18800,19250,18350,18350,14384325,-0.02393617
12/16/2022,18700,19100,18700,18800,11679966,-0.007915567
12/15/2022,18000,19200,18000,18950,24174944,0.044077135
12/14/2022,18350,18400,18000,18150,10439682,0.008333333
12/13/2022,17750,18000,17500,18000,7972797,0.016949153
12/12/2022,18200,18400,17650,17700,12475337,-0.027472527
12/9/2022,18200,18300,17750,18200,9433364,0.005524862
12/8/2022,17700,18500,17550,18100,13822090,0.046242775
12/7/2022,17650,17900,17250,17300,12160850,-0.02259887
12/6/2022,19000,19050,17700,17700,22084166,-0.068421053
12/5/2022,19000,19300,18750,19000,19942710,0.010638298
12/2/2022,17800,18800,17550,18800,16339351,0.056179775
12/1/2022,17700,18400,17450,17800,27693721,0.022988506
11/30/2022,17300,17550,16950,17400,13198252,0.011627907
11/29/2022,17200,17450,16800,17200,15138103,0
11/28/2022,16450,17200,16400,17200,15463580,0.061728395
11/25/2022,15800,16200,15750,16200,9860677,0.031847134
11/24/2022,15650,15850,15400,15700,6354811,0
11/23/2022,15800,16100,15700,15700,7375426,-0.006329114
11/22/2022,15700,16450,15600,15800,13401111,0.006369427
11/21/2022,15900,16100,15600,15700,10733441,0
11/18/2022,15500,16200,15000,15700,12905219,0
11/17/2022,15350,15900,15100,15700,14829806,0.039735099
11/16/2022,13450,15100,13200,15100,26099198,0.067137809
11/15/2022,15000,15200,14150,14150,23490878,-0.069078947
11/14/2022,15950,15950,15100,15200,12035229,-0.05
11/11/2022,16250,16700,15950,16000,11978208,0.012658228
11/10/2022,16850,16900,15800,15800,20044596,-0.067846608
11/9/2022,17300,17550,16900,16950,8441508,-0.014534884
11/8/2022,16750,17450,16600,17200,8725802,0.014749263
11/7/2022,17600,17750,16950,16950,11590485,-0.053072626
11/4/2022,17350,17900,16500,17900,24988481,0.014164306
11/3/2022,17650,18000,17600,17650,8909283,-0.01396648
11/2/2022,18000,18200,17800,17900,10218070,-0.005555556
11/1/2022,18000,18400,17850,18000,20862843,0.016949153
10/31/2022,17700,17900,17000,17700,12203014,0.002832861
10/28/2022,17800,18150,17400,17650,13957692,0.008571429
10/27/2022,16500,17500,16500,17500,13106759,0.067073171
10/26/2022,16400,16800,16250,16400,7269949,0
10/25/2022,15750,16650,15500,16400,16044986,0.051282051
10/24/2022,16300,16450,15450,15600,17426614,-0.031055901
10/21/2022,17250,17250,16100,16100,13751293,-0.06122449
10/20/2022,17450,17500,17150,17150,6787397,-0.02
10/19/2022,17700,17800,17250,17500,5595762,-0.002849003
10/18/2022,17950,18200,17450,17550,9565685,0.002857143
10/17/2022,17700,17800,17100,17500,9760385,-0.016853933
10/14/2022,17900,18300,17600,17800,12155054,0.022988506
10/13/2022,17150,17550,17000,17400,6818219,0.014577259
10/12/2022,16150,17150,16150,17150,12294782,0.068535826
10/11/2022,17300,17300,16050,16050,19410275,-0.069565217
10/10/2022,16950,17400,16550,17250,11382702,0.017699115
10/7/2022,17550,17800,16850,16950,41185585,-0.063535912
10/6/2022,19150,19150,18050,18100,7539800,-0.057291667
10/5/2022,19100,19450,19050,19200,5034602,0.021276596
10/4/2022,19200,19200,18500,18800,8401896,0.005347594
10/3/2022,19900,19900,18600,18700,9076789,-0.065
9/30/2022,19700,20000,19300,20000,7534827,0.01010101
9/29/2022,20200,20250,19800,19800,4320423,-0.007518797
9/28/2022,20000,20250,19950,19950,3505910,-0.012376238
9/27/2022,20350,20350,20000,20200,3977700,0.004975124
9/26/2022,20600,20900,19900,20100,10186800,-0.042857143
9/23/2022,21200,21350,21000,21000,3718800,-0.011764706
9/22/2022,21000,21250,20850,21250,5328700,0.002358491
9/21/2022,21200,21200,20950,21200,4024600,-0.007025761
9/20/2022,21350,21350,20950,21350,5166100,0.016666667
9/19/2022,21700,21800,21000,21000,8312000,-0.036697248
9/16/2022,22250,22350,21750,21800,7015700,-0.015801354
9/15/2022,22450,22550,22050,22150,3588000,-0.011160714
9/14/2022,22050,22450,22000,22400,6826100,-0.006651885
9/13/2022,22650,22750,22500,22550,5164700,-0.002212389
9/12/2022,23000,23000,22600,22600,3052332,-0.004405286
9/9/2022,22950,22950,22250,22700,8649500,-0.004385965
9/8/2022,23100,23250,22750,22800,7960500,-0.008695652
9/7/2022,23700,23800,23000,23000,17408600,-0.027484144
9/6/2022,23600,23900,23550,23650,6889300,0.002118644
9/5/2022,23700,23900,23550,23600,6379400,-0.006315789
8/31/2022,23650,23950,23550,23750,6925400,0.00422833
8/30/2022,23550,23900,23450,23650,9244300,0.010683761
8/29/2022,23050,23500,22900,23400,11961500,-0.008474576
8/26/2022,23750,23900,23600,23600,10033100,-0.002114165
8/25/2022,23400,23650,23250,23650,11501700,0.015021459
8/24/2022,23250,23400,23150,23300,7255700,0.004310345
8/23/2022,22800,23250,22800,23200,5629900,0.004329004
8/22/2022,23300,23450,23000,23100,10635300,0.004391495
8/19/2022,23082,23082,22916,22999,9125100,-0.001822838
8/18/2022,23082,23207,22957,23041,9052200,-0.003589344
8/17/2022,22749,23207,22749,23124,15404600,0.018364381
8/16/2022,22749,22832,22624,22707,7037900,-0.003685665
8/15/2022,22749,22999,22707,22791,8106400,0.011090901
8/12/2022,22332,22582,22249,22541,4450800,0.009358768
8/11/2022,22874,22916,22291,22332,11230700,-0.014735728
