TradingDate,Open,High,Low,Close,Volume,percent_change
12/30/2022,19600,20500,19500,19500,119658,-0.093023256
12/29/2022,19900,21500,18200,21500,99530,0.08040201
12/28/2022,19100,19900,17500,19900,94900,0.052910053
12/27/2022,18100,19500,18100,18900,51500,0.038461538
12/26/2022,18200,18200,17600,18200,5300,-0.005464481
12/23/2022,17400,18400,17300,18300,21103,-0.010810811
12/22/2022,18200,18900,17000,18500,26728,0
12/21/2022,16000,18500,16000,18500,7200,0.04519774
12/20/2022,18500,18500,17700,17700,2720,-0.063492063
12/19/2022,19500,20300,18900,18900,100000,0
12/16/2022,19400,19400,18100,18900,112855,-0.030769231
12/15/2022,19300,19800,17600,19500,90461,0.010362694
12/14/2022,18900,19700,18700,19300,116151,0.021164021
12/13/2022,18700,18900,17500,18900,85700,0.016129032
12/12/2022,19000,19000,17100,18600,38127,-0.005347594
12/9/2022,19000,19000,18000,18700,11470,-0.010582011
12/8/2022,18300,19000,18300,18900,24650,0.032786885
12/7/2022,17200,18800,17100,18300,59245,0.063953488
12/6/2022,19000,19000,17000,17200,28814,-0.07027027
12/5/2022,18900,18900,18100,18500,41600,0.022099448
12/2/2022,18000,18100,17700,18100,324145,0.005555556
12/1/2022,18000,18200,17600,18000,47639,-0.005524862
11/30/2022,18500,18500,17700,18100,53530,0.02259887
11/29/2022,17000,17800,16900,17700,91250,0.047337278
11/28/2022,16600,17000,16600,16900,28800,0.043209877
11/25/2022,15100,16200,15000,16200,28830,0.072847682
11/24/2022,16200,16200,15100,15100,7207,-0.067901235
11/23/2022,16900,16900,16200,16200,22500,-0.024096386
11/22/2022,16100,17300,16000,16600,20043,0.024691358
11/21/2022,17100,17300,16200,16200,26181,-0.052631579
11/18/2022,17000,17900,16600,17100,31482,0.036363636
11/17/2022,15000,16500,15000,16500,98737,0.1
11/16/2022,14000,15000,12600,15000,127701,0.071428571
11/15/2022,14400,14400,12600,14000,110360,0
11/14/2022,14000,14200,13500,14000,43000,0
11/11/2022,13700,14100,13500,14000,34610,0.060606061
11/10/2022,13600,14200,13000,13200,7800,-0.070422535
11/9/2022,13500,14500,13500,14200,28146,0.051851852
11/8/2022,13000,13500,13000,13500,21129,0
11/7/2022,13000,13500,12700,13500,26512,0
11/4/2022,13600,14400,13500,13500,8473,-0.075342466
11/3/2022,13700,14700,13300,14600,31760,-0.006802721
11/2/2022,14600,14700,14400,14700,15100,0
11/1/2022,13800,14800,13800,14700,43515,-0.006756757
10/31/2022,14800,14800,13400,14800,32900,0
10/28/2022,15500,15500,14800,14800,14847,0
10/27/2022,12700,14900,12700,14800,102512,0.04964539
10/26/2022,15000,15000,14100,14100,106136,-0.06
10/25/2022,14400,15300,14400,15000,44902,-0.0625
10/24/2022,16700,16700,15200,16000,37507,-0.041916168
10/21/2022,16300,16700,15900,16700,37900,-0.005952381
10/20/2022,16200,16800,16200,16800,400,-0.00591716
10/19/2022,16800,16900,16000,16900,40600,0.018072289
10/18/2022,17500,17500,16500,16600,3715,0.006060606
10/17/2022,16500,16700,16500,16500,9713,-0.046242775
10/14/2022,17900,18400,17300,17300,19577,-0.028089888
10/13/2022,16400,17900,16400,17800,214393,0.034883721
10/12/2022,14300,17300,14300,17200,931393,0.088607595
10/11/2022,17300,17300,15800,15800,24327,-0.086705202
10/10/2022,15600,17300,15600,17300,50830,0.023668639
10/7/2022,17500,17500,16200,16900,296832,-0.061111111
10/6/2022,18000,18000,17400,18000,35009,0
10/5/2022,17400,18300,17400,18000,20010,0.034482759
10/4/2022,17100,18000,17000,17400,32024,-0.033333333
10/3/2022,18200,18300,17600,18000,49309,-0.016393443
9/30/2022,18300,18500,18000,18300,129200,0
9/29/2022,18800,19200,18300,18300,27069,-0.010810811
9/28/2022,18300,18700,18200,18500,417437,0.010928962
9/27/2022,18000,18900,17500,18300,135821,0.016666667
9/26/2022,19000,19100,17200,18000,292228,-0.057591623
9/23/2022,19200,20300,19000,19100,51984,0
9/22/2022,19800,19800,18400,19100,913777,-0.06372549
9/21/2022,21400,21400,20300,20400,107423,-0.046728972
9/20/2022,22000,23400,21000,21400,115711,-0.02283105
9/19/2022,23000,24800,21500,21900,154175,-0.030973451
9/16/2022,21600,23300,21600,22600,118605,0.066037736
9/15/2022,21300,21300,20800,21200,987663,-0.004694836
9/14/2022,22200,22200,20700,21300,177295,-0.040540541
9/13/2022,23700,24600,22200,22200,66918,-0.067226891
9/12/2022,24200,24500,23700,23800,63575,-0.040322581
9/9/2022,25200,25900,24000,24800,18113,-0.004016064
9/8/2022,24800,24900,24700,24900,25537,0.004032258
9/7/2022,24100,25100,23700,24800,13282,-0.03875969
9/6/2022,26400,26400,25100,25800,16737,0.011764706
9/5/2022,24900,26100,24000,25500,25900,0.071428571
8/31/2022,25800,25800,23800,23800,81828,-0.081081081
8/30/2022,26000,26200,25900,25900,22126,-0.003846154
8/29/2022,26300,26300,25900,26000,3188,-0.011406844
8/26/2022,26300,26500,26100,26300,11204,0
8/25/2022,26400,26800,26300,26300,16314,-0.011278195
8/24/2022,26900,26900,26600,26600,3744,-0.007462687
