TradingDate,Open,High,Low,Close,Volume,percent_change
12/30/2022,22600,22700,22200,22500,10619170,0.006711409
12/29/2022,22700,22950,22350,22350,9448587,-0.024017467
12/28/2022,22600,23000,22050,22900,15197477,0.017777778
12/27/2022,22000,23000,21850,22500,20843101,0.02739726
12/26/2022,23450,23550,21900,21900,20486815,-0.068085106
12/23/2022,23450,23700,22900,23500,13228676,0.004273504
12/22/2022,23750,24150,23100,23400,17471744,-0.006369427
12/21/2022,22750,23800,22300,23550,35451240,0.048997773
12/20/2022,22000,22450,21250,22450,28920182,0.002232143
12/19/2022,23000,23400,22400,22400,23177033,-0.01754386
12/16/2022,22850,23200,22550,22800,25280041,-0.019354839
12/15/2022,23100,23650,22650,23250,20333656,0
12/14/2022,23000,23500,22700,23250,21021263,0.031042129
12/13/2022,21350,22600,21050,22550,25987881,0.058685446
12/12/2022,22500,22600,21300,21300,20772143,-0.049107143
12/9/2022,22500,22600,21900,22400,26469903,0.032258065
12/8/2022,20750,21700,20750,21700,20044364,0.068965517
12/7/2022,20550,20900,19700,20300,27774093,-0.021686747
12/6/2022,22250,22650,20750,20750,49353641,-0.069506726
12/5/2022,22300,22300,21850,22300,38507872,0.069544365
12/2/2022,19800,20850,19500,20850,27687630,0.069230769
12/1/2022,20200,21100,19500,19500,39128527,-0.025
11/30/2022,19550,20200,19150,20000,25463989,0.012658228
11/29/2022,19500,19950,18900,19750,26284633,0.002538071
11/28/2022,19100,19750,19050,19700,28236864,0.042328042
11/25/2022,18500,18950,18000,18900,24963968,0.038461538
11/24/2022,17300,18200,16900,18200,18315507,0.04
11/23/2022,16900,17900,16900,17500,25667059,0.035502959
11/22/2022,16600,17850,16600,16900,30777187,0.011976048
11/21/2022,17300,17400,16700,16700,17504301,-0.023391813
11/18/2022,16950,17650,16450,17100,32565410,-0.005813953
11/17/2022,16900,17250,16600,17200,35150975,0.06501548
11/16/2022,14800,16150,14450,16150,29346343,0.069536424
11/15/2022,15750,16000,14850,15100,27648625,-0.047318612
11/14/2022,15450,16100,14850,15850,36931293,0.016025641
11/11/2022,15600,16200,15450,15600,39518520,0.02970297
11/10/2022,16000,16250,15150,15150,37393467,-0.067692308
11/9/2022,16800,17050,15800,16250,35900759,-0.012158055
11/8/2022,15500,16550,15300,16450,22035426,0.061290323
11/7/2022,16350,16700,15500,15500,20700327,-0.06626506
11/4/2022,17050,17250,16050,16600,32102294,-0.037681159
11/3/2022,16800,17450,16800,17250,19535311,0.020710059
11/2/2022,16900,17300,16750,16900,19124625,0
11/1/2022,16500,17250,16350,16900,29460151,0.046439628
10/31/2022,16200,16500,15600,16150,16784040,0
10/28/2022,16450,16850,16100,16150,18825937,0.00623053
10/27/2022,15000,16050,15000,16050,21986632,0.07
10/26/2022,15150,15400,14800,15000,7625584,0.006711409
10/25/2022,14900,15850,14050,14900,22834518,0.003367003
10/24/2022,16050,16350,14850,14850,27149344,-0.068965517
10/21/2022,17100,17250,15950,15950,22532541,-0.069970845
10/20/2022,17250,17750,16900,17150,13245634,-0.00867052
10/19/2022,17750,17850,16900,17300,17993300,-0.02259887
10/18/2022,18500,18650,17500,17700,14149407,-0.024793388
10/17/2022,17450,18150,17300,18150,12846706,0.028328612
10/14/2022,18100,18100,17450,17650,25066614,0
10/13/2022,17050,17700,16950,17650,16491569,0.041297935
10/12/2022,15950,16950,15900,16950,15161650,0.069400631
10/11/2022,16950,17000,15850,15850,24978458,-0.067647059
10/10/2022,16200,17250,15750,17000,34121294,0.014925373
10/7/2022,17600,17600,16750,16750,40977757,-0.069444444
