ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,equityOnTotalAsset,equityOnLiability,epsChange,bookValuePerShareChange
ABT,4,2022,6.0,0.8,0.142,0.105,5458,40254.0,0.758,3.1,-0.033,0.027
ABT,3,2022,5.7,0.8,0.151,0.105,5647,39189.0,0.671,2.0,0.202,0.027
ABT,2,2022,7.7,0.9,0.128,0.089,4698,38172.0,0.648,1.8,1.247,0.055
ABT,1,2022,17.6,1.0,0.058,0.044,2090,36194.0,0.711,2.5,-0.269,-0.009
ABT,4,2021,10.9,0.9,0.08,0.059,2861,36518.0,0.724,2.6,0.656,0.03
ABT,3,2021,17.1,0.8,0.049,0.037,1727,35462.0,0.729,2.7,-0.056,0.003
ABT,2,2021,14.7,0.8,0.052,0.041,1830,35371.0,0.761,3.2,-0.288,0.001
ABT,1,2021,11.2,0.8,0.074,0.059,2572,35324.0,0.79,3.8,1.125,0.013
ABT,4,2020,24.2,0.8,0.035,0.026,1210,34870.0,0.755,3.1,-0.125,-0.003
ABT,3,2020,21.7,0.9,0.039,0.031,1383,34976.0,0.771,3.4,-0.503,0.005
ABT,2,2020,10.2,0.8,0.079,0.064,2782,34788.0,0.822,4.6,-0.142,0.018
ABT,1,2020,8.9,0.8,0.094,0.075,3243,34163.0,0.816,4.4,-0.234,-0.049
ABT,4,2019,8.0,0.9,0.117,0.091,4235,35933.0,0.767,3.3,-0.145,-0.001
ABT,3,2019,6.7,0.9,0.138,0.111,4956,35957.0,0.778,3.5,0.042,-0.01
ABT,2,2019,7.5,1.0,0.129,0.094,4756,36325.0,0.793,3.8,-0.205,0.024
ABT,1,2019,6.3,1.1,0.17,0.119,5981,35478.0,0.773,3.4,0.033,-0.028
ABT,4,2018,5.9,0.9,0.162,0.114,5789,36488.0,0.784,3.6,0.0,0.02
ABT,3,2018,6.1,1.0,0.165,0.139,5788,35790.0,0.828,4.8,0.229,-0.042
ABT,2,2018,6.4,0.8,0.13,0.084,4712,37358.0,0.675,2.1,1.077,0.069
ABT,1,2018,12.9,0.8,0.065,0.041,2268,34932.0,0.636,1.7,-0.047,-0.004
ABT,4,2017,9.7,0.7,0.067,0.043,2380,35075.0,0.637,1.8,0.173,0.02
ABT,3,2017,12.7,0.7,0.058,0.045,2029,34381.0,0.857,6.0,-0.33,-0.018
ABT,2,2017,9.8,0.8,0.084,0.053,3028,35027.0,0.623,1.6,-0.261,-0.001
ABT,1,2017,7.8,0.9,0.116,0.077,4099,35052.0,0.626,1.7,-0.011,-0.031
