TradingDate,Open,High,Low,Close,Volume,percent_change
12/30/2022,18377,18544,18210,18293,1340931,-0.005
12/29/2022,18377,18711,18210,18377,1810363,0
12/28/2022,18460,18752,18335,18377,1827577,-0.004
12/27/2022,18460,18878,18377,18460,2041994,0
12/26/2022,19128,19128,18460,18460,1779728,-0.035
12/23/2022,19128,19128,18627,19128,1736555,0
12/22/2022,19212,19212,19003,19128,1959813,0.004
12/21/2022,18878,19212,18627,19045,1888423,0.011
12/20/2022,19003,19128,18544,18836,2569365,-0.009
12/19/2022,19128,19421,19003,19003,3384971,-0.011
12/16/2022,19212,19546,19087,19212,2221946,-0.009
12/15/2022,19212,19630,19212,19379,4116001,0.002
12/14/2022,19295,19588,19003,19337,3294738,0.004
12/13/2022,18711,19254,18585,19254,2695070,0.024
12/12/2022,19254,19462,18794,18794,3184172,-0.024
12/9/2022,19003,19379,18752,19254,3322163,0.018
12/8/2022,18752,19880,18460,18920,4799496,0.016
12/7/2022,18794,18794,18168,18627,3297157,0
12/6/2022,19713,19838,18627,18627,5161772,-0.055
12/5/2022,19671,20047,19379,19713,4719103,0.004
12/2/2022,18794,19630,18502,19630,4796603,0.044
12/1/2022,18627,19087,18377,18794,6816917,0.018
11/30/2022,18585,18752,18210,18460,4121813,-0.002
11/29/2022,18585,18585,18126,18502,3945669,-0.004
11/28/2022,18042,18585,18001,18585,5245203,0.035
11/25/2022,17959,17959,17583,17959,2832003,0.024
11/24/2022,17207,17708,17040,17541,2308018,0.017
11/23/2022,17040,17500,16998,17249,2553956,0.015
11/22/2022,17040,17834,16998,16998,4429308,-0.012
11/21/2022,17708,17708,17207,17207,2280525,-0.026
11/18/2022,17374,17917,17207,17667,3539064,0.005
11/17/2022,17374,17834,17374,17583,4307090,0.032
11/16/2022,15787,17040,14952,17040,7401581,0.068
11/15/2022,16915,17082,15954,15954,6566069,-0.059
11/14/2022,17124,17291,16664,16957,5259075,-0.024
11/11/2022,17291,17708,17082,17374,4327549,0.04
11/10/2022,17249,17458,16288,16706,5466448,-0.036
11/9/2022,17875,18126,17291,17332,3280774,-0.026
11/8/2022,17207,18168,16831,17792,4069171,0.031
11/7/2022,17458,17541,16873,17249,4911998,0.025
11/4/2022,17834,17875,16664,16831,12618670,-0.056
11/3/2022,17959,18377,17834,17834,3281353,-0.021
11/2/2022,18711,18752,18210,18210,3540680,-0.029
11/1/2022,18794,19212,18669,18752,3357810,0.002
10/31/2022,18669,18794,18084,18711,3749851,0.005
10/28/2022,18711,18836,18418,18627,3555046,0.011
10/27/2022,17291,18418,17124,18418,4850442,0.068
10/26/2022,17207,17458,16873,17249,2170486,0.012
10/25/2022,16455,17416,15996,17040,4929285,0.046
10/24/2022,17082,17124,16038,16288,2800249,-0.044
10/21/2022,17834,17834,16915,17040,3387430,-0.045
10/20/2022,17625,17959,17291,17834,4025173,0.012
10/19/2022,18042,18042,17541,17625,1447729,-0.014
10/18/2022,17792,17959,17625,17875,2769943,0.021
10/17/2022,16957,17541,16915,17500,3758133,0.005
10/14/2022,17124,17458,16873,17416,3141938,0.045
10/13/2022,15620,16664,15453,16664,3904225,0.067
10/12/2022,14952,15620,14868,15620,3369758,0.069
10/11/2022,15620,15620,14576,14618,6437148,-0.064
10/10/2022,15202,15954,15202,15620,6476351,0.003
10/7/2022,16330,16622,15537,15578,8488826,-0.068
10/6/2022,17416,17708,16706,16706,2851382,-0.038
10/5/2022,17625,17917,17374,17374,3258561,-0.01
10/4/2022,18126,18335,17541,17541,3474571,-0.028
10/3/2022,18418,18627,17792,18042,3661299,-0.027
9/30/2022,18377,18752,18251,18544,4224536,0.009
9/29/2022,18502,18502,18293,18377,3857767,0
9/28/2022,18418,18585,18335,18377,2515887,-0.018
9/27/2022,18544,18752,18460,18711,1468900,0.009
9/26/2022,18711,18794,18210,18544,4546500,-0.018
9/23/2022,18920,19170,18878,18878,1465600,-0.009
9/22/2022,18794,19045,18794,19045,1826800,0.009
9/21/2022,19087,19087,18878,18878,1292200,-0.013
9/20/2022,19128,19170,18878,19128,1908000,0.002
9/19/2022,19337,19379,18961,19087,2558900,-0.013
9/16/2022,19630,19713,19295,19337,2120100,-0.017
9/15/2022,19713,19713,19588,19671,1585600,0.002
9/14/2022,19630,19713,19504,19630,2102100,-0.013
9/13/2022,19964,20047,19713,19880,1469500,0.002
9/12/2022,20047,20214,19838,19838,1416163,-0.01
9/9/2022,20214,20214,19838,20047,2227900,0
9/8/2022,20381,20423,20047,20047,2080700,-0.012
9/7/2022,20465,20548,20298,20298,3214400,-0.014
9/6/2022,20465,20632,20423,20590,2405200,0.006
9/5/2022,20507,20674,20423,20465,2307700,-0.006
8/31/2022,20507,20674,20507,20590,1967000,0.004
8/30/2022,20548,20757,20507,20507,2016400,0
8/29/2022,20423,20632,20298,20507,3218300,-0.01
8/26/2022,20966,21133,20674,20715,3878700,-0.008
8/25/2022,20757,20883,20674,20883,3631800,0.006
8/24/2022,20632,20799,20590,20757,2704900,0.002
8/23/2022,20340,20715,20214,20715,2385000,0.006
8/22/2022,20715,20715,20548,20590,2239300,-0.008
8/19/2022,21008,21008,20715,20757,1909000,-0.012
8/18/2022,20841,21091,20715,21008,5981500,0.008
8/17/2022,20841,20883,20757,20841,3350600,0.004
8/16/2022,20799,20841,20590,20757,3234500,-0.004
8/15/2022,20799,21008,20715,20841,3154600,0.006
8/12/2022,20632,20757,20548,20715,1460000,0.002
8/11/2022,20883,20966,20632,20674,3442200,-0.004
8/10/2022,20841,20924,20674,20757,1987700,-0.004
8/9/2022,20799,20883,20632,20841,3553300,0.008
8/8/2022,20715,20883,20590,20674,3202100,-0.004
8/5/2022,20883,20883,20465,20757,3272800,-0.006
8/4/2022,20883,21091,20799,20883,4390100,0.002
8/3/2022,20883,20924,20632,20841,6081900,0.002
8/2/2022,20883,20924,20632,20799,3391300,-0.004
8/1/2022,20590,20883,20465,20883,4455500,0.016
7/29/2022,20507,20632,20423,20548,3817300,0.006
7/28/2022,20632,20632,20381,20423,3347500,0.01
7/27/2022,20047,20214,20005,20214,890000,0.006
7/26/2022,20047,20256,20047,20089,1484900,0
7/25/2022,20214,20381,19964,20089,1850700,-0.012
7/22/2022,20590,20715,20340,20340,2039400,-0.012
7/21/2022,20298,20799,20214,20590,4313000,0.014
7/20/2022,20131,20340,19964,20298,3039300,0.017
7/19/2022,19964,20005,19880,19964,1507000,0
7/18/2022,20131,20214,19964,19964,2425000,-0.004
7/15/2022,20256,20423,20047,20047,2642300,-0.002
7/14/2022,19880,20172,19880,20089,1429400,0.002
7/13/2022,20047,20381,19880,20047,2126200,0
7/12/2022,19713,20047,19630,20047,728100,0.021
7/11/2022,19922,20047,19630,19630,1634700,-0.021
7/8/2022,20214,20381,20047,20047,2016000,-0.006
7/7/2022,20298,20465,20131,20172,2496700,-0.002
7/6/2022,20381,20465,19713,20214,2017800,-0.01
7/5/2022,20423,20548,20256,20423,2991000,0.008
7/4/2022,20381,20465,20047,20256,1823900,0.008
7/1/2022,19922,20089,19630,20089,1851900,0.002
6/30/2022,20465,20465,20005,20047,2088400,-0.008
6/29/2022,20214,20465,20047,20214,1960600,-0.012
6/28/2022,19880,20715,19797,20465,2995800,0.023
6/27/2022,19880,20172,19755,20005,2447600,0.006
6/24/2022,19797,20047,19630,19880,1588100,0.002
6/23/2022,19546,19922,19254,19838,2140900,0
6/22/2022,19379,19964,19379,19838,2532000,0.033
6/21/2022,18794,19379,18794,19212,2676500,0.004
6/20/2022,19295,19630,19045,19128,3956000,-0.009
6/17/2022,19630,19922,19087,19295,3160900,-0.042
6/16/2022,19713,20131,19713,20131,1925600,0.021
6/15/2022,20423,20465,19295,19713,3633100,-0.021
6/14/2022,19964,20423,19630,20131,2049600,0.008
6/13/2022,20883,20883,19880,19964,3830300,-0.052
6/10/2022,21050,21551,21008,21050,2278300,-0.021
6/9/2022,21551,21634,20924,21509,3388400,0.002
6/8/2022,20799,21467,20590,21467,4494800,0.03
6/7/2022,21133,21133,20298,20841,2255000,-0.014
6/6/2022,21133,21342,21050,21133,1698800,0
6/3/2022,21300,21384,20799,21133,1409500,-0.002
6/2/2022,21384,21676,21175,21175,3745600,0.019
6/1/2022,21250,21250,20782,20782,3523400,-0.014
5/31/2022,21183,21250,21050,21083,2348500,-0.013
5/30/2022,21384,21384,21050,21350,2244200,0.005
5/27/2022,20582,21250,20448,21250,4910800,0.048
5/26/2022,20314,20381,20047,20281,2690700,0.012
5/25/2022,19245,20047,19245,20047,3815600,0.042
5/24/2022,19245,19245,18811,19245,1574100,0.012
5/23/2022,19446,19579,18911,19011,1187500,-0.021
5/20/2022,19112,19579,19112,19412,1936000,0.016
5/19/2022,18978,19379,18778,19112,1856400,-0.012
5/18/2022,19847,19880,19245,19346,3521100,-0.01
5/17/2022,18443,19613,18377,19546,2617900,0.06
5/16/2022,18477,19178,18377,18443,5137600,0.004
5/13/2022,19980,20248,18377,18377,6142600,-0.068
5/12/2022,20515,20883,19713,19713,3128000,-0.066
5/11/2022,20582,21116,20448,21116,2319300,0.026
5/10/2022,20248,20715,19980,20582,3850100,0.007
5/9/2022,20715,20715,19847,20448,5176200,-0.013
5/6/2022,20849,21250,20615,20715,1920300,-0.022
5/5/2022,21584,21584,20916,21183,3209000,-0.002
5/4/2022,21551,21718,21217,21217,2060200,-0.029
4/29/2022,20715,21851,20548,21851,4640900,0.055
4/28/2022,20448,20849,20448,20715,1503700,0.003
4/27/2022,20515,20849,20248,20649,2831800,0
4/26/2022,20381,20883,20047,20649,6106000,0.013
4/25/2022,21584,21684,20381,20381,8242600,-0.056
4/22/2022,21183,21785,21183,21584,5188800,0.025
4/21/2022,21384,21718,21050,21050,5899800,-0.013
4/20/2022,21183,21517,21150,21317,4490500,0.008
