TradingDate,Open,High,Low,Close,Volume,percent_change
12/30/2022,22082,23291,22082,23291,3857765,0.035201565
12/29/2022,22916,23332,22499,22499,1484545,-0.032259452
12/28/2022,22916,23457,22499,23249,1960560,0.029536799
12/27/2022,21666,22582,21499,22582,2173657,0.034353243
12/26/2022,23124,23124,21749,21832,3203162,-0.059249364
12/23/2022,23332,23582,22416,23207,10084406,-0.005357449
12/22/2022,24374,24916,23207,23332,4698729,-0.027792825
12/21/2022,23749,24791,23541,23999,2357610,0.010526759
12/20/2022,23291,24707,22999,23749,3128107,0.021506301
12/19/2022,22749,23749,22749,23249,2801767,0.01826384
12/16/2022,23207,23374,22582,22832,3916146,-0.021429796
12/15/2022,21916,24082,21916,23332,5043879,0.029383217
12/14/2022,22707,22707,21416,22666,7622996,0.066685491
12/13/2022,21249,21249,21249,21249,1108588,0.069185871
12/12/2022,19874,19874,19874,19874,1261959,0.069472098
12/9/2022,17749,18583,17708,18583,3653912,0.069586739
12/8/2022,16666,17374,16666,17374,2278122,0.06923503
12/7/2022,16874,17083,16166,16249,2828856,-0.048820465
12/6/2022,18249,18416,17083,17083,4189904,-0.066043409
12/5/2022,18166,18833,18041,18291,3693489,0.020931011
12/2/2022,17416,18041,17041,17916,3304285,0.023829933
12/1/2022,18999,18999,17499,17499,5852318,-0.045491736
11/30/2022,18333,18541,17749,18333,4897879,0.057693417
11/29/2022,16208,17333,16166,17333,7709627,0.069410168
11/28/2022,15999,16208,15833,16208,4333506,0.018346318
11/25/2022,15791,16041,15499,15916,2629800,0.007915901
11/24/2022,15874,16041,15333,15791,5021778,-0.025728036
11/23/2022,15833,16583,15666,16208,6791991,0.007772182
11/22/2022,14416,16083,14166,16083,13865150,0.069277309
11/21/2022,16541,16833,15041,15041,12600023,-0.069590499
11/18/2022,16166,16166,15166,16166,5586119,0.068897117
11/17/2022,15124,16666,15124,15124,50982828,-0.06923503
11/16/2022,16249,16249,16249,16249,224661,-0.069251919
11/15/2022,17458,17458,17458,17458,73670,-0.068857006
11/14/2022,18749,18749,18749,18749,124976,-0.068326376
11/11/2022,20124,20833,20124,20124,11737893,-0.06936737
11/10/2022,21624,21624,21624,21624,112925,-0.069895479
11/9/2022,23249,24916,23249,23249,1876949,-0.0700028
11/8/2022,23582,24999,23582,24999,1574485,-0.013145429
11/7/2022,27499,27499,25332,25332,378065,-0.068916088
11/4/2022,28582,28582,27166,27207,721456,-0.06716725
11/3/2022,27291,29166,26999,29166,1523380,0.027912878
11/2/2022,29999,29999,28332,28374,188948,-0.054168472
11/1/2022,30207,31207,29999,29999,138372,-0.027017385
10/31/2022,32165,32499,30832,30832,347998,-0.060916179
10/28/2022,34999,35332,32832,32832,301115,-0.061916055
10/27/2022,32915,34999,32082,34999,1672296,0.052633162
10/26/2022,32499,33332,30832,33249,2294513,0.023077633
10/25/2022,30332,32499,29166,32499,2869204,0.068518823
10/24/2022,30415,30665,28541,30415,1608302,-0.008152617
10/21/2022,30290,30749,30082,30665,1238403,-0.00541645
10/20/2022,30832,30832,30207,30832,408063,-0.001360368
10/19/2022,30415,31207,30082,30874,1334391,0.001362221
10/18/2022,30832,30832,30249,30832,643076,0
10/17/2022,30749,30832,29999,30832,1047704,0.002699275
10/14/2022,31665,31665,30749,30749,191645,-0.02381028
10/13/2022,30832,31499,29957,31499,2216054,0.021633368
10/12/2022,30082,30999,30082,30832,424267,0
10/11/2022,30999,30999,29665,30832,1006778,-0.005387271
10/10/2022,29249,30999,29249,30999,571498,0
10/7/2022,29082,30999,28666,30999,7445662,0.006787918
