Date,High,Open,Close,Low,Change %
12/31/2021,144.85,146.05,146.7,144.85,-0.01
12/30/2021,146.2,146.69,147.3,145.99,0
12/29/2021,146.65,146.64,147.42,145.65,0
12/28/2021,146.69,148.24,148.3,146.05,-0.01
12/27/2021,147.91,147.26,148.34,147.17,0.01
12/23/2021,146.92,146.5,148.24,146.45,0
12/22/2021,146.41,143.07,146.5,143.07,0.02
12/21/2021,143.47,142.05,143.87,140.5,0.01
12/20/2021,141.61,140,141.77,139.32,0
12/17/2021,141.73,142.5,143.83,141.3,-0.02
12/16/2021,144.45,147.17,147.68,143.61,-0.01
12/15/2021,146.44,143.41,146.72,141.68,0.02
12/14/2021,143.91,143.97,144.48,141.21,-0.01
12/13/2021,145.83,147.78,147.97,145.52,-0.01
12/10/2021,148,148.7,148.98,146.7,0
12/9/2021,147.64,147.59,149.1,147.12,0
12/8/2021,148.19,147.6,148.39,146.41,0.01
12/7/2021,147.27,145.6,147.53,145.23,0.03
12/6/2021,143.15,143.04,143.85,140.15,0.01
12/3/2021,142,143.68,144.4,140.3,-0.01
12/2/2021,142.97,141.25,143.86,140.21,0.01
12/1/2021,141.05,144,145.95,140.91,-0.01
11/30/2021,141.9,145.01,146,141.6,-0.03
11/29/2021,145.53,144,146.3,143.89,0.02
11/26/2021,142.18,144.35,144.56,141.84,-0.03
11/24/2021,146.12,145.47,146.25,144.37,0
11/23/2021,145.78,146.15,146.66,144.12,0
11/22/2021,146.3,149.33,149.83,146.15,-0.02
11/19/2021,148.93,149.98,150.97,148.9,-0.01
11/18/2021,149.84,148.24,150.58,147.88,0.01
11/17/2021,148.05,148.03,148.56,147.24,0
11/16/2021,147.88,148.15,148.76,147.31,0
11/15/2021,148.45,148.9,149.55,147.57,0
11/12/2021,148.68,146.62,148.85,145.41,0.02
11/11/2021,145.77,146.49,147.54,145.6,0
11/10/2021,145.89,147.5,148.07,144.54,-0.02
11/9/2021,148.92,149.23,149.83,147.24,0
11/8/2021,149.03,149.82,150.61,148.43,0
11/5/2021,148.85,149.17,150.33,148.2,0
11/4/2021,148.27,147.12,149.73,146.31,0.01
11/3/2021,146.6,145.9,146.67,144.59,0.01
11/2/2021,145.43,144.58,146.61,144.34,0.01
11/1/2021,143.5,148.05,148.05,143.23,-0.03
10/29/2021,148.05,145.08,148.24,144.65,0.02
10/28/2021,145.85,147.13,147.16,144.63,0
10/27/2021,146.22,139.4,148.65,139.4,0.05
10/26/2021,139.31,139.26,140.08,138.3,0.01
10/25/2021,137.45,137.55,138,135.42,0
10/22/2021,137.57,139.15,140.58,136.06,-0.03
10/21/2021,141.89,141.77,142.16,140.5,0
10/20/2021,141.77,143.34,143.55,141.38,-0.01
10/19/2021,143.24,143.39,143.66,142.6,0
10/18/2021,142.78,141.08,142.8,141.07,0.01
10/15/2021,141.37,141.61,141.72,140.76,0
10/14/2021,141.15,139.47,141.34,138.82,0.03
10/13/2021,137.58,137.4,138,136.52,0.01
10/12/2021,136.45,139.48,139.51,135.76,-0.02
10/11/2021,138.91,139.29,140.71,138.86,-0.01
10/8/2021,139.79,139.58,140.33,139.22,0
10/7/2021,139.23,138.89,140.04,138.65,0.01
10/6/2021,137.57,134.75,137.75,134.55,0.01
10/5/2021,136.02,134.04,137.22,134.04,0.02
