organCode,ticker,comGroupCode,icbCode,organTypeCode,comTypeCode,organName,organShortName,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,status,code,message,traceId
104498100,VVS,UpcomIndex,3353,DN,CT,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,Đầu tư Phát triển Máy Việt Nam,UPCOM,Đầu tư Phát triển Máy Việt Nam,211,3353,Ô tô và phụ tùng,Automobiles & Parts,,352,105,0,https://vimid.vn,3.3,0.024,0.003,,20.5,20.5,CT,,,,
304941312,XDC,UpcomIndex,2357,DN,CT,Công ty TNHH MTV Xây dựng Công trình Tân Cảng,Xây dựng Công trình Tân Cảng,UPCOM,Xây dựng Công trình Tân Cảng,181,2357,Xây dựng và Vật liệu,Construction & Materials,,110,0,0,https://saigonnewport.com.vn,3.7,0.736,2.959,,9,0,CT,,,,
10659,HSV,UpcomIndex,1757,DN,CT,Công ty Cổ phần Tập đoàn HSV Việt Nam,Gang Thép Hà Nội,UPCOM,Gang Thép Hà Nội,159,1757,Tài nguyên Cơ bản,Basic Resources,2013,0,109,0.003,https://gangthephanoi.com,3.7,-0.004,-0.075,-0.414,15.7,15.7,CT,,,,
10669,CST,UpcomIndex,1771,DN,CT,Công ty Cổ phần Than Cao Sơn - TKV,Than Cao Sơn - TKV,UPCOM,Than Cao Sơn - TKV,160,1771,Tài nguyên Cơ bản,Basic Resources,2020,3473,5157,0.06,http://thancaoson.vn,4,-0.044,-0.003,0.396,42.8,42.8,CT,,,,
10708,BVL,UpcomIndex,8637,DN,CT,Công ty Cổ phần BV Land,BV Land,UPCOM,BV Land,339,8637,Bất động sản,Real Estate,2008,46,175,0,http://bvland.vn,,-0.044,-0.083,-0.577,57.3,57.3,CT,,,,
10709,SGI,UpcomIndex,3763,DN,CT,Công ty Cổ phần Đầu tư phát triển Sài Gòn 3 Group,ĐT PT Sài Gòn 3 Group,UPCOM,ĐT PT Sài Gòn 3 Group,226,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2018,0,490,0,https://www.saigon3group.com.vn,3.6,-0.099,-0.059,-0.093,75.5,75.5,CT,,,,
10729,TOS,UpcomIndex,573,DN,CT,Công ty Cổ phần Dịch vụ biển Tân Cảng,Dịch vụ biển Tân Cảng,UPCOM,Dịch vụ biển Tân Cảng,316,573,Dầu khí,Oil & Gas,2012,663,160,0,https://tancangoffshore.com,3.8,-0.042,-0.005,-0.195,31,31,CT,,,,
10780,VTZ,HNXIndex,1353,DN,CT,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,Nhựa Việt Thành,HNX,Nhựa Việt Thành,150,1353,Hóa chất,Chemicals,2011,397,245,0.001,https://vithacoplastic.com,3.4,0.007,-0.056,0.171,23,23,CT,,,,
10825,SSH,UpcomIndex,8633,DN,CT,Công ty Cổ phần Phát triển Sunshine Homes,Phát triển Sunshine Homes,UPCOM,Phát triển Sunshine Homes,336,8633,Bất động sản,Real Estate,2015,0,243,0,https://ssh.vn,2.9,-0.004,-0.02,-0.012,375,375,CT,,,,
10847,BCA,UpcomIndex,1757,DN,CT,Công ty cổ phần B.C.H,Công ty B.C.H,UPCOM,Công ty B.C.H,159,1757,Tài nguyên Cơ bản,Basic Resources,2004,0,114,0,https://bch.com.vn,3.3,0.018,0.044,-0.366,19,19,CT,,,,
10919,FUCTVGF3,VNINDEX,8985,OTHER,QU,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,HOSE,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,302,8985,Dịch vụ tài chính,Financial Services,2019,0,0,0,https://www.tvam.vn/vi,5,-0.004,-0.025,0.476,19.9,19.9,QU,,,,
10929,FUEIP100,VNINDEX,8985,OTHER,QU,Quỹ ETF IPAAM VN100,ETF IPAAM VN100,HOSE,ETF IPAAM VN100,302,8985,Dịch vụ tài chính,Financial Services,2019,0,0,0.013,https://ipaam.com.vn/vi/home,5,-0.001,-0.012,-0.055,5.7,5.7,QU,,,,
10966,GMH,VNINDEX,2353,DN,CT,Công ty Cổ phần Minh Hưng Quảng Trị,Minh Hưng Quảng Trị,HOSE,Minh Hưng Quảng Trị,180,2353,Xây dựng và Vật liệu,Construction & Materials,2006,405,173,0.001,http://minhhungqt.vn,4.2,-0.018,-0.067,-0.199,16.5,16.5,CT,,,,
10969,BIG,UpcomIndex,8637,DN,CT,Công ty cổ phần BIG Invest Group,BIG Invest Group,UPCOM,BIG Invest Group,339,8637,Bất động sản,Real Estate,2017,0,140,0.001,https://biginvestgroup.vn,3.5,0.196,0.175,-0.522,5,5,CT,,,,
10990,CMM,UpcomIndex,3577,DN,CT,Công ty Cổ phần Camimex,Camimex,UPCOM,Camimex,218,3577,Thực phẩm và đồ uống,Food & Beverage,2013,862,110,0,https://cmmseafood.com.vn,3.7,-0.034,0.041,,57,57,CT,,,,
11009,CNA,UpcomIndex,3573,DN,CT,Công ty Cổ phần Tổng công ty Chè Nghệ An,Tổng công ty Chè Nghệ An - CTCP,UPCOM,Tổng công ty Chè Nghệ An - CTCP,217,3573,Thực phẩm và đồ uống,Food & Beverage,1992,515,0,0,http://ngheantea.com.vn,3.1,-0.004,-0.025,0.164,3.4,0.8,CT,,,,
11096,FUEKIV30,VNINDEX,8985,OTHER,QU,Quỹ ETF KIM GROWTH VN30,KIM GROWTH VN30 ETF,HOSE,KIM GROWTH VN30 ETF,302,8985,Dịch vụ tài chính,Financial Services,2021,0,0,0.838,https://koreainvestment.com.vn/en/home,5,0.003,-0.022,-0.01,44,44,QU,,,,
12109,ODE,UpcomIndex,5553,DN,CT,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,Tập đoàn Truyền thông và Giải trí ODE,UPCOM,Tập đoàn Truyền thông và Giải trí ODE,254,5553,Truyền thông,Media,2016,0,126,0,https://ode.vn,3.3,0.028,0.034,0.127,10,10,CT,,,,
12110,HMR,HNXIndex,2353,DN,CT,Công ty cổ phần Đá Hoàng Mai,Đá Hoàng Mai,HNX,Đá Hoàng Mai,180,2353,Xây dựng và Vật liệu,Construction & Materials,2011,65,143,0,https://rcchoangmai.vn,4.1,0.01,0.019,-0.039,5.6,5.6,CT,,,,
12166,PCH,HNXIndex,1353,DN,CT,Công ty Cổ phần Nhựa Picomat,Nhựa Picomat,HNX,Nhựa Picomat,150,1353,Hóa chất,Chemicals,2010,51,129,0,https://picomat.vn,4,0.139,0.118,,20,20,CT,,,,
12211,DSD,UpcomIndex,5755,DN,CT,Công ty cổ phần DHC Suối Đôi,DHC Suối Đôi,UPCOM,DHC Suối Đôi,260,5755,Du lịch và Giải trí,Travel & Leisure,2014,223,307,0,https://dhcsuoidoi.vn,3,-0.004,0.314,0.128,36.6,31.1,CT,,,,
12215,NO1,VNINDEX,2757,DN,CT,Công ty Cổ phần Tâp đoàn 911,Tâp đoàn 911,HOSE,Tâp đoàn 911,189,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2011,50,138,0,https://911group.com.vn,3.8,0.003,-0.118,,24,24,CT,,,,
12220,MGR,UpcomIndex,8633,DN,CT,Công ty cổ phần Tập đoàn MGROUP,Tập đoàn MGROUP,UPCOM,Tập đoàn MGROUP,336,8633,Bất động sản,Real Estate,2013,0,119,0,https://www.mgroup.vn,3.8,-0.175,-0.125,-0.399,20,20,CT,,,,
12281,PPT,UpcomIndex,7573,DN,CT,Công ty cổ phần Petro Times,Petro Times,UPCOM,Petro Times,275,7573,"Điện, nước & xăng dầu khí đốt",Utilities,2015,0,307,0,https://petrotimesgroup.com,3.2,0.002,-0.031,,15,15,CT,,,,
12358,CVP,UpcomIndex,2777,DN,CT,Công ty cổ phần Cảng Cửa Việt,Cảng Cửa Việt,UPCOM,Cảng Cửa Việt,193,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007,20,20,0,https://cuavietport.com,3.8,-0.004,-0.025,0.164,3.4,3.4,CT,,,,
12464,CAR,UpcomIndex,2793,DN,CT,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,Tập đoàn Giáo dục Trí Việt,UPCOM,Tập đoàn Giáo dục Trí Việt,196,2793,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2013,0,103,0,https://trivietgroup.edu.vn,5,0.015,-0.015,,3.2,3.2,CT,,,,
12562,GPC,UpcomIndex,4577,DN,CT,Công ty Cổ phần Tập đoàn Green+,Tập đoàn Green+,UPCOM,Tập đoàn Green+,238,4577,Y tế,Health Care,2016,42,184,0,https://greenplus.group,3.7,-0.048,-0.068,,41.6,41.6,CT,,,,
12615,FUCTVGF4,VNINDEX,8985,OTHER,QU,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,HOSE,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,302,8985,Dịch vụ tài chính,Financial Services,2022,0,0,0,https://www.tvam.vn/vi,5,-0.004,-0.025,,20.1,20.1,QU,,,,
2040143,FUEDCMID,VNINDEX,8985,OTHER,QU,Quỹ ETF DCVFMVNMIDCAP,Quỹ ETF DCVFMVNMIDCAP,HOSE,Quỹ ETF DCVFMVNMIDCAP,302,8985,Dịch vụ tài chính,Financial Services,2022,0,0,0.93,https://dragoncapital.com.vn,5,0.014,-0.014,,9.4,9.4,QU,,,,
3602503768,GCF,UpcomIndex,3577,DN,CT,Công ty Cổ phần Thực phẩm G.C,Thực phẩm G.C,UPCOM,Thực phẩm G.C,218,3577,Thực phẩm và đồ uống,Food & Beverage,,573,124,0,https://gcfood.com.vn,3.2,0.061,0.033,,30.7,30.7,CT,,,,
9646,LPT,UpcomIndex,2793,DN,CT,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành,TM và SX Lập Phương Thành,UPCOM,TM và SX Lập Phương Thành,196,2793,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008,0,1033,0,http://lapphuongthanh.vn,3.9,-0.016,-0.092,0.037,12,12,CT,,,,
AAA,AAA,VNINDEX,1353,DN,CT,Công ty Cổ phần Nhựa An Phát Xanh,An Phát Bioplastics,HOSE,An Phát Bioplastics,150,1353,Hóa chất,Chemicals,2002,2713,27697,0.02,https://anphatbioplastics.com,3.5,0.014,0.028,0.037,382.3,382.3,CT,,,,
